aluguel,area_quarto,zona
1.000,48 m² construídos2 quartos,sul
1.200,67 m² construídos3 quartos,sul
1.300,65 m² construídos2 quartos,sul
1.280,65 m² construídos2 quartos,sul
1.100,50 m² construídos2 quartos,sul
1.236,50 m² construídos2 quartos,sul
1.250,40 m² construídos2 quartos,sul
1.208,62 m² construídos2 quartos,sul
820,18 m² construídos1 quarto,sul
900,40 m² construídos1 quarto,sul
550,40 m² construídos1 quarto,sul
900,22 m² construídos1 quarto,sul
1.250,63 m² construídos2 quartos,sul
1.200,62 m² construídos2 quartos,sul
1.200,70 m² construídos1 quarto,sul
1.315,48 m² construídos1 quarto,sul
1.180,70 m² construídos1 quarto,sul
3.162,94 m² construídos2 quartos,sul
2.500,33 m² construídos1 quarto,sul
1.900,60 m² construídos2 quartos,sul
1.600,65 m² construídos3 quartos,sul
1.250,29 m² construídos1 quarto,sul
700,60 m² construídos1 quarto,sul
3.100,60 m² construídos2 quartos,sul
1.700,32 m² construídos1 quarto,sul
1.000,22 m² construídos1 quarto,sul
1.550,55 m² construídos2 quartos,sul
950,60 m² construídos1 quarto,sul
4.000,200 m² construídos4 quartos,sul
2.000,50 m² construídos1 quarto,sul
1.450,50 m² construídos2 quartos,sul
1.100,50 m² construídos1 quarto,sul
2.200,73 m² construídos3 quartos,sul
1.380,80 m² construídos1 quarto,sul
2.750,37 m² construídos1 quarto,sul
1.300,71 m² construídos3 quartos,sul
1.750,44 m² construídos1 quarto,sul
1.800,76 m² construídos3 quartos,sul
1.800,75 m² construídos3 quartos,sul
2.200,50 m² construídos1 quarto,sul
1.180,70 m² construídos1 quarto,sul
4.500,130 m² construídos3 quartos,sul
1.000,18 m² construídos1 quarto,sul
3.760,240 m² construídos3 quartos,sul
7.500,800 m² construídos4 quartos,sul
2.300,59 m² construídos1 quarto,sul
2.830,61 m² construídos2 quartos,sul
1.280,40 m² construídos1 quarto,sul
1.900,74 m² construídos3 quartos,sul
1.733,80 m² construídos1 quarto,sul
1.723,100 m² construídos2 quartos,sul
1.280,40 m² construídos2 quartos,sul
1.900,38 m² construídos1 quarto,sul
2.500,81 m² construídos2 quartos,sul
1.100,38 m² construídos1 quarto,sul
4.100,94 m² construídos3 quartos,sul
1.860,55 m² construídos2 quartos,sul
5.000,57 m² construídos2 quartos,sul
5.700,110 m² construídos3 quartos,sul
3.800,100 m² construídos3 quartos,sul
3.000,59 m² construídos2 quartos,sul
2.000,37 m² construídos1 quarto,sul
2.400,100 m² construídos3 quartos,sul
3.000,70 m² construídos1 quarto,sul
1.500,30 m² construídos1 quarto,sul
2.500,65 m² construídos2 quartos,sul
2.000,220 m² construídos4 quartos,sul
2.000,90 m² construídos2 quartos,sul
3.200,70 m² construídos1 quarto,sul
3.300,120 m² construídos3 quartos,sul
2.600,75 m² construídos3 quartos,sul
6.000,350 m² construídos4 quartos,sul
5.250,120 m² construídos3 quartos,sul
3.500,120 m² construídos2 quartos,sul
4.900,46 m² construídos1 quarto,sul
1.000,40 m² construídos1 quarto,sul
1.500,49 m² construídos2 quartos,sul
1.369,96 m² construídos2 quartos,sul
2.200,40 m² construídos2 quartos,sul
1.836,65 m² construídos2 quartos,sul
2.800,42 m² construídos1 quarto,sul
1.750,58 m² construídos2 quartos,sul
6.000,65 m² construídos2 quartos,sul
3.000,45 m² construídos2 quartos,sul
1.300,41 m² construídos2 quartos,sul
2.310,70 m² construídos2 quartos,sul
1.600,49 m² construídos2 quartos,sul
2.400,35 m² construídos1 quarto,sul
2.700,68 m² construídos2 quartos,sul
