zona,enderecos_lista,area,quartos,aluguel
norte,"Praça Rafael Mendes De Carvalho, Jardim Paraíso, São Paulo Zona Norte, São Paulo",50.0,2.0,1150
norte,"Rua Almirante Noronha, Jardim São Paulo, São Paulo Zona Norte, São Paulo",76.0,3.0,1480
norte,"Rua Cássio De Almeida, Vila Guilherme, São Paulo Zona Norte, São Paulo",30.0,1.0,800
norte,"Rua Cabo José Da Silva, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",80.0,3.0,1180
norte,"Parque Domingos Luís, Jardim São Paulo, São Paulo Zona Norte, São Paulo",70.0,2.0,1300
norte,"Rua Ciridião Durval, Vila Paulista, São Paulo Zona Norte, São Paulo",45.0,1.0,990
norte,"Rua Soldado Brasílio Pinto De Almeida, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",65.0,2.0,980
norte,"Rua José Bernardo Pinto, Vila Guilherme, São Paulo Zona Norte, São Paulo",55.0,2.0,1350
norte,"Rua José Ferreira De Castro, Vila Amélia, São Paulo Zona Norte, São Paulo",49.0,2.0,1430
norte,"Rua Coronel Marcílio Franco, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",70.0,1.0,1260
norte,"Avenida Parada Pinto, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",74.0,3.0,1450
norte,"Avenida Conceição, Jardim Japão, São Paulo Zona Norte, São Paulo",50.0,2.0,1200
norte,"Rua Conselheiro Moreira De Barros, Lauzane Paulista, São Paulo Zona Norte, São Paulo",60.0,2.0,1600
norte,"Rua João Ventura Batista, Vila Guilherme, São Paulo Zona Norte, São Paulo",54.0,2.0,1900
norte,"Rua Professor Antônio Da Costa, Parque Mandaqui, São Paulo Zona Norte, São Paulo",92.0,3.0,1750
norte,"Rua Antônio Ribeiro De Morais, Vila Carbone, São Paulo Zona Norte, São Paulo",74.0,3.0,1700
norte,"Rua Nanuque, Jardim Peri, São Paulo Zona Norte, São Paulo",80.0,2.0,2600
norte,"Rua Santa Leocádia, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",57.0,2.0,1500
norte,"Rua Roque De Morais, Limão, São Paulo Zona Norte, São Paulo",89.0,2.0,1600
norte,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",52.0,2.0,1600
norte,"Avenida Águas De São Pedro, Vila Paulicéia, São Paulo Zona Norte, São Paulo",110.0,3.0,3300
norte,"Avenida Boschetti, Vila Medeiros, São Paulo Zona Norte, São Paulo",56.0,2.0,1200
norte,"Avenida Jardim Japão, Jardim Brasil, São Paulo Zona Norte, São Paulo",53.0,2.0,1300
norte,"Rua São Nestor, Vila Mazzei, São Paulo Zona Norte, São Paulo",53.0,2.0,1200
norte,"Rua Domingos José Sapienza, Vila Amália, São Paulo Zona Norte, São Paulo",60.0,3.0,1800
norte,"Rua Elza Guimarães, Vila Amália, São Paulo Zona Norte, São Paulo",59.0,3.0,1670
norte,"Rua Capitão Servio Rodrigues Caldas, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",78.0,2.0,1610
norte,"Rua Dolores Duran, Vila Basileia, São Paulo Zona Norte, São Paulo",80.0,2.0,1872
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",330.0,4.0,11000
norte,"Avenida Das Flores, Jardim Peri, São Paulo Zona Norte, São Paulo",40.0,2.0,1200
norte,"Rua Maria Cândida, Vila Guilherme, São Paulo Zona Norte, São Paulo",50.0,2.0,1800
norte,"Rua Plácido Leão, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",300.0,3.0,3366
norte,"Rua Doutor Paulo Gatti, Vila Romero, São Paulo Zona Norte, São Paulo",194.0,3.0,6000
norte,"Rua Igarité, Vila Nova Carolina, São Paulo Zona Norte, São Paulo",108.0,3.0,2500
norte,"Avenida Celso Garcia, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",40.0,1.0,1186
norte,"Rua Dos Jacarandás Mimosos, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",41.0,1.0,1000
norte,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",122.0,2.0,3750
norte,"Rua Santa Eudóxia, Parque Peruche, São Paulo Zona Norte, São Paulo",585.0,3.0,3460
norte,"Rua José Hernandes Gonzáles, Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",70.0,2.0,2020
norte,"Rua Itaici, Santa Teresinha, São Paulo Zona Norte, São Paulo",59.0,3.0,2140
norte,"Rua Campo Comprido, Vila Romero, São Paulo Zona Norte, São Paulo",380.0,3.0,4500
norte,"Rua Pontins, Santana, São Paulo Zona Norte, São Paulo",590.0,5.0,15000
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",326.0,4.0,4386
norte,"Rua Jacaré Copaíba, Vila Marina, São Paulo Zona Norte, São Paulo",52.0,2.0,930
norte,"Rua Aluísio Azevedo, Santana, São Paulo Zona Norte, São Paulo",72.0,3.0,2600
norte,"Rua Prainha, Vila Maria Alta, São Paulo Zona Norte, São Paulo",230.0,3.0,4500
norte,"Rua Cezar Zama, Santana, São Paulo Zona Norte, São Paulo",106.0,3.0,3800
norte,"Rua Itauna, Vila Maria Baixa, São Paulo Zona Norte, São Paulo",85.0,3.0,1664
norte,"Rua Domiciano Ribeiro, Casa Verde Alta, São Paulo Zona Norte, São Paulo",60.0,1.0,892
norte,"Rua Bernardino Fanganiello, Casa Verde, São Paulo Zona Norte, São Paulo",60.0,2.0,1520
norte,"Avenida General Ataliba Leonel, Parada Inglesa, São Paulo Zona Norte, São Paulo",68.0,2.0,1500
norte,"Rua Iacaia, Imirim, São Paulo Zona Norte, São Paulo",60.0,2.0,840
norte,"Rua Paulo Do Vale Júnior, Vila Bancária Munhoz, São Paulo Zona Norte, São Paulo",115.0,2.0,2080
norte,"Rua Liestal, Lauzane Paulista, São Paulo Zona Norte, São Paulo",48.0,2.0,1600
norte,"Avenida Conceição, Carandiru, São Paulo Zona Norte, São Paulo",70.0,2.0,3500
norte,"Rua Carlos Dos Santos, Jardim Brasil, São Paulo Zona Norte, São Paulo",40.0,1.0,880
norte,"Avenida Conceição, Vila Paiva, São Paulo Zona Norte, São Paulo",63.0,1.0,3060
norte,"Rua Moreira De Vasconcelos, Vila Maria Alta, São Paulo Zona Norte, São Paulo",155.0,2.0,3060
norte,"Rua Comendador César Alfieri, Parque São Luís, São Paulo Zona Norte, São Paulo",50.0,2.0,1260
norte,"Avenida Ultramarino, Lauzane Paulista, São Paulo Zona Norte, São Paulo",50.0,2.0,1417
norte,"Avenida Das Flores, Jardim Peri, São Paulo Zona Norte, São Paulo",40.0,1.0,1500
norte,"Avenida Raimundo Pereira De Magalhães, Jardim Peri, São Paulo Zona Norte, São Paulo",42.0,1.0,1400
norte,"Travessa Renê Vannes, Jardim Peri, São Paulo Zona Norte, São Paulo",110.0,2.0,1600
norte,"Rua Alegria, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",39.0,1.0,1900
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",82.0,3.0,3570
norte,"Rua Dolores Duran, Vila Basileia, São Paulo Zona Norte, São Paulo",80.0,2.0,1976
norte,"Rua Silva Guimarães, Vila Ede, São Paulo Zona Norte, São Paulo",110.0,4.0,2200
norte,"Rua Catugi, Vila Germinal, São Paulo Zona Norte, São Paulo",45.0,2.0,1500
norte,"Rua Salete, Santana, São Paulo Zona Norte, São Paulo",130.0,3.0,3800
norte,"Avenida Imperatriz Leopoldina, Jardim Peri, São Paulo Zona Norte, São Paulo",47.0,2.0,1872
norte,"Rua São Mauro, Jardim São Bento, São Paulo Zona Norte, São Paulo",350.0,5.0,4300
norte,"Rua Guaranésia, Vila Maria Baixa, São Paulo Zona Norte, São Paulo",79.0,2.0,3000
norte,"Alameda Segundo-sargento Ananias Holanda De Oliveira, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",80.0,2.0,1200
norte,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",60.0,3.0,2200
norte,"Estrada Do Sabão, Jardim Maristela, São Paulo Zona Norte, São Paulo",275.0,3.0,3270
norte,"Rua Emílio Goeldi, Jardim Peri, São Paulo Zona Norte, São Paulo",64.0,3.0,2270
norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",38.0,1.0,2810
norte,"Rua Igarité, Vila Nova Carolina, São Paulo Zona Norte, São Paulo",60.0,3.0,2620
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",160.0,3.0,5000
norte,"Praça Rafael Mendes De Carvalho, Jardim Paraíso, São Paulo Zona Norte, São Paulo",50.0,1.0,900
norte,"Avenida Ede, Vila Ede, São Paulo Zona Norte, São Paulo",140.0,3.0,2700
norte,"Rua Ciridião Durval, Vila Paulista, São Paulo Zona Norte, São Paulo",40.0,1.0,2300
norte,"Rua Anthêmios De Tralles, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",125.0,3.0,2800
norte,"Mandaqui, São Paulo Zona Norte, São Paulo",160.0,,5500
norte,"Rua Manuel Pitta, Vila Pita, São Paulo Zona Norte, São Paulo",50.0,1.0,1000
norte,"Avenida Inajar De Souza, Limão, São Paulo Zona Norte, São Paulo",45.0,1.0,1500
norte,"Rua Domiciano Ribeiro, Casa Verde Alta, São Paulo Zona Norte, São Paulo",50.0,1.0,787
norte,"Avenida Yara, Jardim Peri, São Paulo Zona Norte, São Paulo",65.0,2.0,1588
norte,"Rua São Zeferino, Jardim França, São Paulo Zona Norte, São Paulo",72.0,2.0,1600
norte,"Avenida Maestro Villa Lobos, Vila Gustavo, São Paulo Zona Norte, São Paulo",43.0,2.0,1300
norte,"Avenida Gustavo Adolfo, Vila Gustavo, São Paulo Zona Norte, São Paulo",38.0,2.0,1320
norte,"Rua Lauro Megale, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",40.0,1.0,850
norte,"Rua Benfica, Jardim Brasil, São Paulo Zona Norte, São Paulo",60.0,1.0,680
norte,"Santana, São Paulo Zona Norte, São Paulo",50.0,,5500
norte,"Jardim São Paulo, São Paulo Zona Norte, São Paulo",120.0,,5000
norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",32.0,1.0,1260
norte,"Nobrega De Souza Coutinho 05, Jardim Peri, São Paulo Zona Norte, São Paulo",70.0,1.0,600
norte,"Enoch Barreira De Macedo 88, Parque Tietê, São Paulo Zona Norte, São Paulo",90.0,1.0,900
norte,"Rua José Eduardo Raduan 5, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",80.0,2.0,1299
norte,"Rua Campo Belo Do Sul 113, Parque Vitória, São Paulo Zona Norte, São Paulo",50.0,1.0,1000
norte,"Rua Brandão Agrões 176, Jardim Peri, São Paulo Zona Norte, São Paulo",50.0,1.0,800
norte,"Rua José De Sá Brito 26, Mandaqui, São Paulo Zona Norte, São Paulo",92.0,2.0,1600
norte,"Narita, Jardim Japão, São Paulo Zona Norte, São Paulo",56.0,2.0,1300
norte,"Avenida Júlio Buono, Vila Guilherme, São Paulo Zona Norte, São Paulo",50.0,2.0,700
norte,"Presidente Jânio Da Silva Quadros, Jardim Japão, São Paulo Zona Norte, São Paulo",70.0,2.0,1200
norte,"Dr. José Gustavo Nunes 8, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",50.0,2.0,920
norte,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",45.0,2.0,1000
norte,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",28.0,,750
norte,"Av. Nossa Senhora Do Loreto 237, Vila Medeiros, São Paulo Zona Norte, São Paulo",35.0,1.0,900
norte,"Rua Carlos Escobar 282, Santana, São Paulo Zona Norte, São Paulo",10.0,1.0,800
norte,"Rua Augusto Tolle,,
                408, Santana, São Paulo Zona Norte, São Paulo",107.0,4.0,2500
norte,"Yedo, Vila Maria Alta, São Paulo Zona Norte, São Paulo",65.0,2.0,1700
norte,"Avenida Penha Brasil 2651, Vila Francos, São Paulo Zona Norte, São Paulo",47.0,2.0,1000
norte,"Avenida Franz Liszt, Jardim Guança, São Paulo Zona Norte, São Paulo",7800.0,,115000
norte,"Rua Santo Egídio,,
                709, Santa Teresinha, São Paulo Zona Norte, São Paulo",107.0,3.0,2500
norte,"R Gaspar Soares, Jardim São Paulo, São Paulo Zona Norte, São Paulo",132.0,,2300
norte,"General Ataliba Leonel, Parada Inglesa, São Paulo Zona Norte, São Paulo",65.0,2.0,1400
norte,"Sob Consulta, Parque Mandaqui, São Paulo Zona Norte, São Paulo",45.0,2.0,1800
norte,"Rua Aída Gomes Tolêdo, Imirim, São Paulo Zona Norte, São Paulo",47.0,2.0,1000
norte,"Avenida Deputado Emílio Carlos,
                674b, Limão, São Paulo Zona Norte, São Paulo",130.0,,2500
norte,"Jardim Peri, São Paulo Zona Norte, São Paulo",950.0,,21000
norte,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",15.0,1.0,750
norte,"Sob Consulta, Parque Mandaqui, São Paulo Zona Norte, São Paulo",67.0,2.0,1600
norte,"Rua João De Souto Maior, Vila Medeiros, São Paulo Zona Norte, São Paulo",55.0,2.0,1450
norte,"Rua Emílio Goeldi, Jardim Peri, São Paulo Zona Norte, São Paulo",62.0,3.0,2200
norte,"Jardim França, São Paulo Zona Norte, São Paulo",160.0,4.0,5400
norte,"Lucerna, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",70.0,2.0,1800
norte,"Jose Pedro D´oro 451, Vila Francos, São Paulo Zona Norte, São Paulo",50.0,2.0,1400
norte,"Rua Artur, Imirim, São Paulo Zona Norte, São Paulo",48.0,2.0,1200
norte,"Rua Epaminondas Melo Do Amaral, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",46.0,2.0,1400
norte,"R Doutor Artur Guimarães, Santana, São Paulo Zona Norte, São Paulo",30.0,,2000
norte,"Rua José De Almeida, Vila Medeiros, São Paulo Zona Norte, São Paulo",35.0,1.0,900
norte,"Rua Santo Adolfo, Vila Medeiros, São Paulo Zona Norte, São Paulo",120.0,2.0,1200
norte,"Conceição, Jardim Japão, São Paulo Zona Norte, São Paulo",110.0,2.0,2200
norte,"Rua Paulo Vidigal Vicente De Azevedo, Jardim Peri, São Paulo Zona Norte, São Paulo",58.0,2.0,1550
norte,"Rua Antônio Dias Da Silva, Vila Amália, São Paulo Zona Norte, São Paulo",60.0,2.0,1120
norte,"Avenida Guilherme Cotching, Vila Maria, São Paulo Zona Norte, São Paulo",80.0,3.0,1910
norte,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",80.0,3.0,1300
norte,"Rua Henrique Felipe Da Costa, Vila Guilherme, São Paulo Zona Norte, São Paulo",62.0,2.0,1600
norte,"Rua Nicolau Tolentino De Almeida 61, Vila Dionisia, São Paulo Zona Norte, São Paulo",45.0,2.0,1000
norte,"Rua Buracica, Jardim Modelo, São Paulo Zona Norte, São Paulo",30.0,1.0,1150
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",90.0,3.0,1560
norte,"Rua Ismael Neri, Água Fria, São Paulo Zona Norte, São Paulo",60.0,1.0,1400
norte,"Paulo De Avelar, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",90.0,,2500
norte,"Avenida Braz Leme, Santana, São Paulo Zona Norte, São Paulo",100.0,3.0,2150
norte,"Rua Padre Azevedo, Jardim São Paulo, São Paulo Zona Norte, São Paulo",321.0,3.0,7800
norte,"Rua Francisca Júlia, Santana, São Paulo Zona Norte, São Paulo",130.0,3.0,4750
norte,"Rua Galiléia, Casa Verde, São Paulo Zona Norte, São Paulo",450.0,2.0,8000
norte,"Rua Jaboatão, Casa Verde, São Paulo Zona Norte, São Paulo",65.0,2.0,1470
norte,"Avenida José Maria Fernandes, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",64.0,3.0,1600
norte,"Soldado José Rufino Costa, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",600.0,,10000
