aluguel,zona,area,quarto
1000.0,sul,48.0,2.0
1200.0,sul,67.0,3.0
1300.0,sul,65.0,2.0
1280.0,sul,65.0,2.0
1100.0,sul,50.0,2.0
1236.0,sul,50.0,2.0
1250.0,sul,40.0,2.0
1208.0,sul,62.0,2.0
820.0,sul,18.0,1.0
900.0,sul,40.0,1.0
550.0,sul,40.0,1.0
900.0,sul,22.0,1.0
1250.0,sul,63.0,2.0
1200.0,sul,62.0,2.0
1200.0,sul,70.0,1.0
1315.0,sul,48.0,1.0
1180.0,sul,70.0,1.0
3162.0,sul,94.0,2.0
2500.0,sul,33.0,1.0
1900.0,sul,60.0,2.0
1600.0,sul,65.0,3.0
1250.0,sul,29.0,1.0
700.0,sul,60.0,1.0
3100.0,sul,60.0,2.0
1700.0,sul,32.0,1.0
1000.0,sul,22.0,1.0
1550.0,sul,55.0,2.0
950.0,sul,60.0,1.0
4000.0,sul,200.0,4.0
2000.0,sul,50.0,1.0
1450.0,sul,50.0,2.0
1100.0,sul,50.0,1.0
2200.0,sul,73.0,3.0
1380.0,sul,80.0,1.0
2750.0,sul,37.0,1.0
1300.0,sul,71.0,3.0
1750.0,sul,44.0,1.0
1800.0,sul,76.0,3.0
1800.0,sul,75.0,3.0
2200.0,sul,50.0,1.0
1180.0,sul,70.0,1.0
4500.0,sul,130.0,3.0
1000.0,sul,18.0,1.0
3760.0,sul,240.0,3.0
7500.0,sul,800.0,4.0
2300.0,sul,59.0,1.0
2830.0,sul,61.0,2.0
1280.0,sul,40.0,1.0
1900.0,sul,74.0,3.0
1733.0,sul,80.0,1.0
1723.0,sul,100.0,2.0
1280.0,sul,40.0,2.0
1900.0,sul,38.0,1.0
2500.0,sul,81.0,2.0
1100.0,sul,38.0,1.0
4100.0,sul,94.0,3.0
1860.0,sul,55.0,2.0
5000.0,sul,57.0,2.0
5700.0,sul,110.0,3.0
3800.0,sul,100.0,3.0
3000.0,sul,59.0,2.0
2000.0,sul,37.0,1.0
2400.0,sul,100.0,3.0
3000.0,sul,70.0,1.0
1500.0,sul,30.0,1.0
2500.0,sul,65.0,2.0
2000.0,sul,220.0,4.0
2000.0,sul,90.0,2.0
3200.0,sul,70.0,1.0
